lambda_param,alpha,delta,epsilon,decay,xmin,ks,R_ln,p_ln,R_exp,p_exp,num_avalanches,num_seeds
20,2.0883134912332935,0.7,0.01,0.9,0.010000000000000009,0.2613458818350998,-716.1810804268908,5.278474467349276e-88,-785.797191868083,4.775268803468118e-199,3857,3
20,2.4398311701629556,0.7,0.01,0.95,0.010000000000000009,0.24578580612934603,-281.73601230483064,5.71060985411715e-34,-352.66803949378107,2.476952507908283e-60,3090,3
20,1.7761373420380515,0.7,0.03,0.8,0.010000000000000009,0.2773025905124983,-1497.8619993134653,1.666054513218797e-197,-1519.3371954780334,0.0,4395,3
20,2.1993856226729465,0.7,0.03,0.9,0.010000000000000009,0.24935078625272572,-562.3534446608033,4.433778820181644e-68,-634.37013778447,1.3432882110711324e-140,3766,3
20,2.530175190198648,0.7,0.03,0.95,0.010000000000000009,0.25083450865064716,-209.4099177897871,3.8175696534611394e-26,-268.7641538385333,1.7296484525364916e-38,2951,3
20,1.809881434028482,0.7,0.05,0.8,0.010000000000000009,0.2757088659516738,-1414.271429714493,6.658363737560361e-186,-1429.728140230844,0.0,4376,3
20,2.2142007597403293,0.7,0.05,0.9,0.010000000000000009,0.2464075644006372,-483.2716209969338,1.2110652626839351e-57,-566.4151764561418,7.59967804942392e-118,3503,3
20,2.4624756670541825,0.7,0.05,0.95,0.010000000000000009,0.24632027992367117,-261.5130321265357,3.3399993289780224e-32,-333.0133083348977,1.6827702244353712e-52,3189,3
20,1.744027358575636,0.9,0.01,0.8,0.010000000000000009,0.29333500161133286,-1798.6438421718074,6.385660859355327e-236,-1739.0518522266545,0.0,4509,3
20,2.1581027116028735,0.9,0.01,0.9,0.010000000000000009,0.24761880412283155,-600.3045636850218,2.683052645141827e-74,-680.7445731671663,1.321762855222564e-155,3832,3
20,2.3370673872979113,0.9,0.01,0.95,0.010000000000000009,0.2286219689396662,-309.0384440358298,1.4531425245986995e-37,-395.986381465395,1.4516403039442548e-60,3387,3
20,1.778796997450287,0.9,0.03,0.8,0.010000000000000009,0.2784610445900888,-1582.6164142444663,6.832860747283971e-212,-1570.229820626165,0.0,4472,3
20,2.0472693345704456,0.9,0.03,0.9,0.010000000000000009,0.2610201236648141,-733.3324021790186,1.5620106971060715e-91,-807.4099210537522,2.7412257633889143e-201,3826,3
20,2.456983021131644,0.9,0.03,0.95,0.010000000000000009,0.24415093541041882,-262.1165801054529,1.5510738564060164e-32,-336.7758410357348,1.713803814057242e-51,3298,3
20,1.757732544282052,0.9,0.05,0.8,0.010000000000000009,0.28624490907379807,-1685.1768094640825,1.4433610473657066e-222,-1667.1554935354281,0.0,4549,3
20,2.0632570688932033,0.9,0.05,0.9,0.010000000000000009,0.2560237466056291,-771.2831758704805,3.10598376240794e-95,-838.3229442885014,5.637720541953585e-220,3922,3
20,2.3831895159467686,0.9,0.05,0.95,0.010000000000000009,0.23384468073789147,-285.1125779079712,8.207272509520324e-35,-360.03449120084343,6.800691167910912e-53,3321,3
20,1.8327814822356063,0.5,0.01,0.8,0.010000000000000009,0.25538117911598257,-1127.311257117533,5.910497544506764e-144,-1218.2500645717857,0.0,4160,3
20,2.4719915319678303,0.5,0.01,0.9,0.010000000000000009,0.23705179435627866,-241.43684666419037,1.6404423534207908e-29,-315.94076305019627,6.059048358547349e-45,3258,3
20,2.971110517512903,0.5,0.01,0.95,0.010000000000000009,0.23892295354788362,-43.95414407562081,8.592488899546504e-07,-43.73327769119037,0.02886485919332412,2887,3
20,1.7788492170175387,0.5,0.03,0.8,0.010000000000000009,0.28181483554963166,-1457.9367715735457,6.048525990383422e-186,-1473.9976691286395,0.0,4200,3
20,2.606066979340693,0.5,0.03,0.9,0.010000000000000009,0.2429591999504416,-163.959183771829,4.50208760513351e-21,-222.35552560460874,1.6708140662591676e-24,3217,3
20,2.9750343967306065,0.5,0.03,0.95,0.010000000000000009,0.23405391929744046,-36.44274067630445,6.1933693959419675e-06,-24.953618106654922,0.21693276394415573,2874,3
20,1.7960390012740568,0.5,0.05,0.8,0.010000000000000009,0.2732161014347346,-1409.3077665930984,2.3491490786627352e-186,-1419.4124500126047,0.0,4203,3
20,2.6982202617299924,0.5,0.05,0.9,0.010000000000000009,0.23924517534468637,-109.19191878876161,1.1777963309351218e-14,-148.29598605089416,1.842147556540286e-12,3014,3
20,3.028754736507362,0.5,0.05,0.95,0.010000000000000009,0.23790406646386902,-34.42789414846393,1.2622809659483126e-05,-29.0346495780682,0.13198417820364064,2754,3
20,1.7802761549356587,0.7,0.01,0.8,0.010000000000000009,0.27817856788344775,-1534.7710107006978,1.1489142541057863e-200,-1556.4200370063895,0.0,4514,3
20,2.3113444792960425,0.7,0.01,0.9,0.010000000000000009,0.2472331204832649,-374.67870363966443,7.523901202498213e-48,-445.49167214141744,9.16557516950688e-82,3439,3
20,2.770718553441383,0.7,0.01,0.95,0.010000000000000009,0.2754334258474906,-147.68878633943137,9.204502995621524e-19,-194.24124732578414,2.426640527438135e-27,2694,3
20,1.7566006009024653,0.7,0.03,0.8,0.010000000000000009,0.28288998886604316,-1626.7746006705693,8.074938400764266e-211,-1637.242646387925,0.0,4508,3
20,2.3958373645750957,0.7,0.03,0.9,0.010000000000000009,0.25007849196900744,-356.319827126423,4.454307034575584e-43,-429.6472711985378,4.0770047238280794e-80,3443,3
20,2.811277277934538,0.7,0.03,0.95,0.010000000000000009,0.24896368369291433,-87.48417977637553,6.2517097939542065e-12,-119.82028687782311,6.070470826604191e-10,2765,3
20,1.7473541716516674,0.7,0.05,0.8,0.010000000000000009,0.27543201976130505,-1571.887884453029,1.2462366098984286e-209,-1592.236463959974,0.0,4388,3
20,2.217463865651741,0.7,0.05,0.9,0.010000000000000009,0.24722567154747432,-519.8191403283148,7.75094525450087e-65,-587.3091567404355,2.0429689836106867e-136,3523,3
20,2.67169287900831,0.7,0.05,0.95,0.010000000000000009,0.25345740713399034,-154.29244177788053,2.818972972193637e-19,-206.68606253167005,8.968006832605375e-26,2839,3
